date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:10	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:10%20GMT	http://nimbletechng.com/robots.txt		(from )
10:05:15	127988/127988	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2009:05:10%20GMT	http://nimbletechng.com/	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/index.html	(from )
10:05:16	1743/1743	---M--	200	added ('OK')	text/css	date:Wed,%2010%20Oct%202018%2013:09:52%20GMT	http://nimbletechng.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.0.4	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/plugins/contact-form-7/includes/css/styles5560.css	(from http://nimbletechng.com/)
10:05:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:16%20GMT	http://nimbletechng.com/feed/	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/feed/index.html	(from http://nimbletechng.com/)
10:05:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:16%20GMT	http://nimbletechng.com/comments/feed/	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/comments/feed/index.html	(from http://nimbletechng.com/)
10:05:16	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:16%20GMT	http://nimbletechng.com/home-extended/feed/	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/home-extended/feed/index.html	(from http://nimbletechng.com/)
10:05:16	2922/2922	---M--	200	added ('OK')	text/css	date:Thu,%2029%20Oct%202015%2016:47:00%20GMT	http://nimbletechng.com/wp-content/themes/salient/css/rgs.css?ver=6.0.1	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/css/rgs37ad.css	(from http://nimbletechng.com/)
10:05:18	48926/48926	---M--	200	added ('OK')	text/css	date:Mon,%2028%20Dec%202015%2020:29:34%20GMT	http://nimbletechng.com/wp-content/themes/salient/css/font-awesome.min.css?ver=4.9.24	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/css/font-awesome.min578a.css	(from http://nimbletechng.com/)
10:05:19	5685/5685	---M--	200	added ('OK')	text/css	date:Tue,%2008%20Dec%202015%2020:23:34%20GMT	http://nimbletechng.com/wp-content/themes/salient/css/prettyPhoto.css?ver=7.0.1	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/css/prettyPhotof0a0.css	(from http://nimbletechng.com/)
10:05:21	123205/123205	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Apr%202016%2021:35:04%20GMT	http://nimbletechng.com/wp-content/themes/salient/css/responsive.css?ver=7.0.7	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/css/responsivea758.css	(from http://nimbletechng.com/)
10:05:21	530580/530580	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202016%2015:09:24%20GMT	http://nimbletechng.com/wp-content/themes/salient/style.css?ver=7.0.7	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/stylea758.css	(from http://nimbletechng.com/)
10:05:22	27235/27235	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Apr%202016%2021:35:04%20GMT	http://nimbletechng.com/wp-content/themes/salient/css/ascend.css?ver=7.0.1	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/css/ascendf0a0.css	(from http://nimbletechng.com/)
10:05:24	104111/104111	---M--	200	added ('OK')	text/css	date:Wed,%2016%20Aug%202017%2010:49:54%20GMT	http://nimbletechng.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min.css?ver=4.11.2	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/plugins/js_composer_salient/assets/css/js_composer.min2720.css	(from http://nimbletechng.com/)
10:05:26	10056/10056	---M--	200	added ('OK')	application/javascript	date:Fri,%2020%20May%202016%2010:41:28%20GMT	http://nimbletechng.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://nimbletechng.com/)
10:05:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:27%20GMT	http://nimbletechng.com/wp-json/	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-json/index.html	(from http://nimbletechng.com/)
10:05:27	830/830	---MC-	200	added ('OK')	text/xml	date:Tue,%2031%20Oct%202023%2009:05:26%20GMT	http://nimbletechng.com/xmlrpc.php?rsd	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/xmlrpc0db0.php	(from http://nimbletechng.com/)
10:05:28	15314/15314	---M--	200	added ('OK')	application/javascript	date:Fri,%2030%20Oct%202015%2015:13:00%20GMT	http://nimbletechng.com/wp-content/themes/salient/js/modernizr.js?ver=2.6.2	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-content/themes/salient/js/modernizr61da.js	(from http://nimbletechng.com/)
10:05:28	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2000:19:12%20GMT	http://nimbletechng.com/wp-includes/wlwmanifest.xml	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-includes/wlwmanifest.xml	(from http://nimbletechng.com/)
10:05:28	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:28%20GMT	http://nimbletechng.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fnimbletechng.com%2F	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-json/oembed/1.0/embed5943	(from http://nimbletechng.com/)
10:05:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2031%20Oct%202023%2009:05:28%20GMT	http://nimbletechng.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fnimbletechng.com%2F&format=xml	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/wp-json/oembed/1.0/embed443a	(from http://nimbletechng.com/)
10:05:30	0/0	---M--	200	added ('OK')	text/javascript	date:Tue,%2031%20Oct%202023%2009:05:29%20GMT	http://nimbletechng.com/?wordfence_lh=1&hid=04B9C47FC14E681E449B869043DA3207	C:/Users/Jerry/Desktop/StratEdge%20Solutions/www.nimbletechng.com/nimbletechng.com/index82ab.html	(from http://nimbletechng.com/)
